wt, s, d, c, i1, i1ref, i1delta
2.852663214311681461e+00,0.000000000000000000e+00,6.764248267830650363e-01,6.787638772704838175e-01,6.481472667697232848e-02,2.665871788747208870e-01,-1.535028061552999867e-01
2.852977204976106851e+00,1.000000000000000000e+00,6.766609470753129907e-01,6.747660239642456759e-01,6.247569117845256509e-02,2.663055621858291255e-01,-1.555602249649279956e-01
2.906041627264003502e+00,1.000000000000000000e+00,7.170053635677557935e-01,8.711847905118474955e-04,1.700473700201255156e-01,2.183576080693679644e-01,-4.059200679388391686e-05
2.965699853504833339e+00,1.000000000000000000e+00,7.633109607596401114e-01,7.604633129763271882e-01,2.660048723177418362e-01,1.637243328401913611e-01,1.505501855199990469e-01
2.966013844169258729e+00,0.000000000000000000e+00,7.635570548146209946e-01,7.644611662825724352e-01,2.664371298076801398e-01,1.634350766758247142e-01,1.512716991743039974e-01
2.984539293370358948e+00,0.000000000000000000e+00,7.781171551298863287e-01,9.996654886491995740e-01,1.136345737779450721e-01,1.463414195066011225e-01,1.556280031379251444e-02
3.000866807920480550e+00,0.000000000000000000e+00,7.910132803179645844e-01,7.917771167246598907e-01,-2.556443606065522678e-02,1.312339930968239587e-01,-1.085287831150306137e-01
3.001180798584905940e+00,1.000000000000000000e+00,7.912618415883199141e-01,7.877792634184217491e-01,-2.826179544558994616e-02,1.309431098872620713e-01,-1.109352592904034596e-01
3.063036959476714394e+00,1.000000000000000000e+00,8.405997721474396389e-01,2.021620889109954078e-04,2.450245685417674554e-02,7.342395509232199635e-02,-6.518521956966824571e-04
3.133370868308008816e+00,1.000000000000000000e+00,8.974331959051459195e-01,8.953169785091077415e-01,4.835798987450612429e-02,7.692510641306452880e-03,8.893512527564823023e-02
3.133684858972434206e+00,0.000000000000000000e+00,8.976882716929625028e-01,8.993148318153458831e-01,4.837708601453371421e-02,7.398739264689486138e-03,8.924799279229278515e-02
3.140278662925368280e+00,0.000000000000000000e+00,9.030471705226964518e-01,9.832697512464179113e-01,-1.228710407423862748e-02,1.229416457964660004e-03,3.475312551024527935e-02
3.140592653589793226e+00,1.000000000000000000e+00,9.033024639302711378e-01,9.872676045526489474e-01,-1.532850882116070998e-02,9.356357241542609523e-04,3.200550149713358994e-02
