I_out, gain, alpha, beta
8.537902911820473006e-01,3.314351237170863329e-01,1.023222787601867134e+00,3.141592653589793116e+00
8.590254933997304443e-01,3.259065488048333292e-01,1.033363038327663963e+00,3.141592653589793116e+00
8.641723673486995105e-01,3.203444629415787004e-01,1.043503289053460792e+00,3.141592653589793116e+00
8.692303838077977129e-01,3.147494380421473337e-01,1.053643539779257621e+00,3.141592653589793116e+00
8.741990226925336893e-01,3.091220494082813630e-01,1.063783790505054450e+00,3.141592653589793116e+00
8.790777731085580582e-01,3.034628756694848217e-01,1.073924041230851500e+00,3.141592653589793116e+00
8.838661334041955087e-01,2.977724987235276788e-01,1.084064291956648329e+00,3.141592653589793116e+00
8.885636112220269833e-01,2.920515036766119787e-01,1.094204542682445158e+00,3.141592653589793116e+00
8.931697235495154041e-01,2.863004787832093556e-01,1.104344793408241987e+00,3.141592653589793116e+00
8.976839967686710553e-01,2.805200153855746392e-01,1.114485044134038816e+00,3.141592653589793116e+00
9.021059667047505171e-01,2.747107078529414936e-01,1.124625294859835645e+00,3.141592653589793116e+00
9.064351786739850425e-01,2.688731535204074707e-01,1.134765545585632474e+00,3.141592653589793116e+00
9.106711875303328263e-01,2.630079526275132529e-01,1.144905796311429302e+00,3.141592653589793116e+00
9.148135577112508354e-01,2.571157082565242447e-01,1.155046047037226131e+00,3.141592653589793116e+00
9.188618632824807619e-01,2.511970262704190660e-01,1.165186297763022960e+00,3.141592653589793116e+00
9.228156879818449898e-01,2.452525152505924122e-01,1.175326548488819789e+00,3.141592653589793116e+00
9.266746252620489122e-01,2.392827864342785549e-01,1.185466799214616618e+00,3.141592653589793116e+00
9.304382783324829376e-01,2.332884536517015051e-01,1.195607049940413447e+00,3.141592653589793116e+00
9.341062602000227422e-01,2.272701332629586679e-01,1.205747300666210275e+00,3.141592653589793116e+00
9.376781937088205510e-01,2.212284440946443442e-01,1.215887551392007104e+00,3.141592653589793116e+00
9.411537115790865604e-01,2.151640073762196570e-01,1.226027802117803933e+00,3.141592653589793116e+00
9.445324564448532856e-01,2.090774466761353145e-01,1.236168052843600762e+00,3.141592653589793116e+00
9.478140808907221659e-01,2.029693878377140381e-01,1.246308303569397591e+00,3.141592653589793116e+00
9.509982474875851022e-01,1.968404589147988715e-01,1.256448554295194420e+00,3.141592653589793116e+00
9.540846288273210352e-01,1.906912901071742827e-01,1.266588805020991249e+00,3.141592653589793116e+00
9.570729075564609056e-01,1.845225136957667766e-01,1.276729055746788077e+00,3.141592653589793116e+00
9.599627764088193294e-01,1.783347639776311500e-01,1.286869306472584906e+00,3.141592653589793116e+00
9.627539382370884358e-01,1.721286772007298849e-01,1.297009557198381735e+00,3.141592653589793116e+00
