wt, i_1, i_1_fundamental, i_1_harmonic
5.600610858767318678e-01,0.000000000000000000e+00,-8.746217073458753544e-03,8.746217073458753544e-03
5.775629948103797595e-01,0.000000000000000000e+00,-4.126266599479039288e-03,4.126266599479039288e-03
5.950649037440276512e-01,0.000000000000000000e+00,4.949477870851148875e-04,-4.949477870851148875e-04
6.125668126776754319e-01,0.000000000000000000e+00,5.116010566688838912e-03,-5.116010566688838912e-03
6.300687216113233236e-01,0.000000000000000000e+00,9.735506266226101602e-03,-9.735506266226101602e-03
6.475706305449712152e-01,0.000000000000000000e+00,1.435201989260138922e-02,-1.435201989260138922e-02
6.650725394786191069e-01,0.000000000000000000e+00,1.896413736615502887e-02,-1.896413736615502887e-02
6.825744484122669986e-01,0.000000000000000000e+00,2.357044595380862473e-02,-2.357044595380862473e-02
7.000763573459147793e-01,0.000000000000000000e+00,2.816953470179771324e-02,-2.816953470179771324e-02
7.175782662795626710e-01,0.000000000000000000e+00,3.275999486785970138e-02,-3.275999486785970138e-02
7.350801752132105626e-01,0.000000000000000000e+00,3.734042035274424964e-02,-3.734042035274424964e-02
7.525820841468584543e-01,0.000000000000000000e+00,4.190940813091423300e-02,-4.190940813091423300e-02
7.700839930805063460e-01,0.000000000000000000e+00,4.646555868030491365e-02,-4.646555868030491365e-02
7.875859020141542377e-01,0.000000000000000000e+00,5.100747641101022190e-02,-5.100747641101022190e-02
8.050878109478020184e-01,0.000000000000000000e+00,5.553377009276451448e-02,-5.553377009276451448e-02
8.225897198814499101e-01,0.000000000000000000e+00,6.004305328108902606e-02,-6.004305328108902606e-02
8.400916288150978017e-01,0.000000000000000000e+00,6.453394474197203523e-02,-6.453394474197203523e-02
8.575935377487456934e-01,1.801381294410627358e-05,6.900506887495345965e-02,-6.898705506200934756e-02
8.750954466823935851e-01,2.809687252021055449e-04,7.345505613448369275e-02,-7.317408740928159350e-02
8.925973556160413658e-01,8.523034152239788996e-04,7.788254344942742435e-02,-7.703024003420344545e-02
9.100992645496892575e-01,1.725506963667563197e-03,8.228617464058501918e-02,-8.056066767691745512e-02
9.276011734833371492e-01,2.893975986043659070e-03,8.666460083610212639e-02,-8.377062485005846992e-02
9.451030824169850408e-01,4.351016655391872802e-03,9.101648088464131536e-02,-8.666546422924943649e-02
9.626049913506329325e-01,6.089846752659799391e-03,9.534048176618881154e-02,-8.925063501352900608e-02
9.801069002842808242e-01,8.103597744158072547e-03,9.963527900037054408e-02,-9.153168125621247153e-02
9.976088092179286049e-01,1.038531688545393968e-02,1.038995570521523831e-01,-9.351424016669844519e-02
1.015110718151576608e+00,1.292796935105926769e-02,1.081320097348003745e-01,-9.520404038374111200e-02
1.032612627085224277e+00,1.572444038926101850e-02,1.123313406099773898e-01,-9.660690022071637129e-02
